SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
1X,500,500,R20,astral_3_v5.7.7,heron11,0m57.468s,1m15.926s,0m2.191s
1X,500,500,R2,astral_3_v5.7.7,heron10,0m59.326s,1m17.415s,0m2.400s
1X,500,500,R3,astral_3_v5.7.7,heron04,0m57.789s,1m17.497s,0m2.508s
1X,500,500,R4,astral_3_v5.7.7,heron03,0m59.938s,1m17.599s,0m2.460s
1X,500,500,R5,astral_3_v5.7.7,heron11,0m55.852s,1m15.489s,0m2.209s
1X,500,500,R6,astral_3_v5.7.7,heron05,0m59.702s,1m19.549s,0m2.352s
1X,500,500,R7,astral_3_v5.7.7,heron09,0m56.756s,1m12.409s,0m2.118s
1X,500,500,R8,astral_3_v5.7.7,heron01,0m57.133s,1m14.716s,0m2.048s
1X,500,500,R9,astral_3_v5.7.7,heron06,0m58.673s,1m16.166s,0m2.490s
1X,500,true,R10,astral_3_v5.7.7,heron07,0m29.766s,0m46.381s,0m1.758s
1X,500,true,R11,astral_3_v5.7.7,heron04,0m30.144s,0m44.915s,0m1.605s
1X,500,true,R12,astral_3_v5.7.7,heron00,0m56.857s,1m20.170s,0m3.125s
1X,500,true,R13,astral_3_v5.7.7,heron03,0m29.956s,0m43.368s,0m1.851s
1X,500,true,R14,astral_3_v5.7.7,heron11,0m29.264s,0m43.837s,0m1.730s
1X,500,true,R15,astral_3_v5.7.7,heron09,0m31.016s,0m44.687s,0m1.979s
1X,500,true,R16,astral_3_v5.7.7,heron05,0m28.999s,0m46.047s,0m1.849s
1X,500,true,R17,astral_3_v5.7.7,heron01,0m29.582s,0m42.879s,0m1.687s
1X,500,true,R18,astral_3_v5.7.7,heron02,0m30.638s,0m47.031s,0m1.611s
1X,500,true,R19,astral_3_v5.7.7,heron06,0m29.986s,0m43.996s,0m1.770s
1X,500,true,R1,astral_3_v5.7.7,heron03,0m29.854s,0m46.863s,0m1.737s
1X,500,true,R20,astral_3_v5.7.7,heron08,0m29.721s,0m44.957s,0m1.996s
1X,500,true,R2,astral_3_v5.7.7,heron09,0m30.103s,0m44.589s,0m1.708s
1X,500,true,R3,astral_3_v5.7.7,heron11,0m30.039s,0m46.492s,0m2.027s
1X,500,true,R4,astral_3_v5.7.7,heron05,0m29.776s,0m45.537s,0m1.648s
1X,500,true,R5,astral_3_v5.7.7,heron01,0m29.467s,0m46.023s,0m1.758s
1X,500,true,R6,astral_3_v5.7.7,heron06,0m30.536s,0m44.764s,0m1.613s
1X,500,true,R7,astral_3_v5.7.7,heron02,0m29.759s,0m42.428s,0m1.850s
1X,500,true,R8,astral_3_v5.7.7,heron08,0m30.470s,0m44.520s,0m1.899s
1X,500,true,R9,astral_3_v5.7.7,heron10,0m30.982s,0m46.381s,0m1.439s
1X,50,500,R10,astral_3_v5.7.7,heron09,0m4.520s,0m11.419s,0m0.505s
1X,50,500,R11,astral_3_v5.7.7,heron05,0m4.485s,0m11.843s,0m0.472s
1X,50,500,R12,astral_3_v5.7.7,heron11,0m4.570s,0m11.564s,0m0.458s
1X,50,500,R13,astral_3_v5.7.7,heron01,0m4.208s,0m10.986s,0m0.450s
1X,50,500,R14,astral_3_v5.7.7,heron06,0m4.154s,0m10.644s,0m0.458s
1X,50,500,R15,astral_3_v5.7.7,heron02,0m3.877s,0m10.452s,0m0.514s
1X,50,500,R16,astral_3_v5.7.7,heron10,0m4.537s,0m12.012s,0m0.558s
1X,50,500,R17,astral_3_v5.7.7,heron07,0m4.487s,0m11.704s,0m0.489s
1X,50,500,R18,astral_3_v5.7.7,heron08,0m4.405s,0m11.275s,0m0.430s
1X,50,500,R19,astral_3_v5.7.7,heron04,0m4.315s,0m11.508s,0m0.457s
1X,50,500,R1,astral_3_v5.7.7,heron11,0m4.361s,0m11.463s,0m0.442s
1X,50,500,R20,astral_3_v5.7.7,heron03,0m3.644s,0m9.539s,0m0.463s
1X,50,500,R2,astral_3_v5.7.7,heron01,0m4.344s,0m10.394s,0m0.437s
1X,50,500,R3,astral_3_v5.7.7,heron06,0m4.504s,0m10.878s,0m0.596s
1X,50,500,R4,astral_3_v5.7.7,heron02,0m4.529s,0m10.853s,0m0.506s
1X,50,500,R5,astral_3_v5.7.7,heron07,0m4.614s,0m11.917s,0m0.495s
1X,50,500,R6,astral_3_v5.7.7,heron10,0m4.522s,0m11.440s,0m0.492s
1X,50,500,R7,astral_3_v5.7.7,heron08,0m4.514s,0m11.377s,0m0.452s
1X,50,500,R8,astral_3_v5.7.7,heron04,0m4.459s,0m10.826s,0m0.461s
1X,50,500,R9,astral_3_v5.7.7,heron03,0m4.499s,0m12.027s,0m0.445s
1X,50,true,R10,astral_3_v5.7.7,heron11,0m2.760s,0m7.797s,0m0.381s
1X,50,true,R11,astral_3_v5.7.7,heron01,0m3.389s,0m8.552s,0m0.426s
1X,50,true,R12,astral_3_v5.7.7,heron02,0m3.644s,0m9.984s,0m0.420s
1X,50,true,R13,astral_3_v5.7.7,heron06,0m2.885s,0m8.097s,0m0.437s
1X,50,true,R14,astral_3_v5.7.7,heron07,0m2.883s,0m8.138s,0m0.378s
1X,50,true,R15,astral_3_v5.7.7,heron10,0m2.849s,0m7.680s,0m0.422s
1X,50,true,R16,astral_3_v5.7.7,heron08,0m3.037s,0m8.362s,0m0.370s
1X,50,true,R17,astral_3_v5.7.7,heron04,0m2.551s,0m7.094s,0m0.400s
1X,50,true,R18,astral_3_v5.7.7,heron09,0m2.858s,0m7.705s,0m0.410s
1X,50,true,R19,astral_3_v5.7.7,heron03,0m2.804s,0m7.823s,0m0.395s
1X,50,true,R1,astral_3_v5.7.7,heron06,0m2.818s,0m7.363s,0m0.355s
1X,50,true,R20,astral_3_v5.7.7,heron05,0m2.833s,0m8.535s,0m0.387s
1X,50,true,R2,astral_3_v5.7.7,heron02,0m2.852s,0m8.082s,0m0.399s
1X,50,true,R3,astral_3_v5.7.7,heron07,0m2.781s,0m7.985s,0m0.422s
1X,50,true,R4,astral_3_v5.7.7,heron10,0m2.817s,0m8.058s,0m0.407s
1X,50,true,R5,astral_3_v5.7.7,heron08,0m3.179s,0m8.406s,0m0.434s
1X,50,true,R6,astral_3_v5.7.7,heron04,0m2.812s,0m8.027s,0m0.330s
1X,50,true,R7,astral_3_v5.7.7,heron09,0m2.939s,0m8.549s,0m0.463s
1X,50,true,R8,astral_3_v5.7.7,heron03,0m2.751s,0m7.642s,0m0.355s
1X,50,true,R9,astral_3_v5.7.7,heron05,0m2.571s,0m7.015s,0m0.377s
2X,1000,500,R10,astral_3_v5.7.7,heron10,3m22.088s,3m42.014s,0m3.678s
2X,1000,500,R11,astral_3_v5.7.7,heron07,3m26.901s,3m47.322s,0m3.306s
2X,1000,500,R12,astral_3_v5.7.7,heron11,3m21.985s,3m39.852s,0m3.420s
2X,1000,500,R13,astral_3_v5.7.7,heron04,3m25.507s,3m44.424s,0m3.007s
2X,1000,500,R14,astral_3_v5.7.7,heron03,3m15.235s,3m33.420s,0m3.211s
2X,1000,500,R15,astral_3_v5.7.7,heron05,3m15.586s,3m36.355s,0m3.335s
2X,1000,500,R16,astral_3_v5.7.7,heron01,3m22.673s,3m41.327s,0m3.458s
2X,1000,500,R17,astral_3_v5.7.7,heron06,3m16.674s,3m34.819s,0m2.838s
2X,1000,500,R18,astral_3_v5.7.7,heron09,3m19.839s,3m38.879s,0m3.657s
2X,1000,500,R19,astral_3_v5.7.7,heron08,3m10.402s,3m29.378s,0m3.292s
2X,1000,500,R1,astral_3_v5.7.7,heron02,3m26.102s,3m46.765s,0m3.311s
2X,1000,500,R20,astral_3_v5.7.7,heron00,6m1.438s,6m37.940s,0m4.991s
2X,1000,500,R2,astral_3_v5.7.7,heron10,3m31.133s,3m54.518s,0m3.281s
2X,1000,500,R3,astral_3_v5.7.7,heron04,3m27.528s,3m46.752s,0m3.663s
2X,1000,500,R4,astral_3_v5.7.7,heron03,3m23.598s,3m46.477s,0m3.419s
2X,1000,500,R5,astral_3_v5.7.7,heron01,3m17.915s,3m37.784s,0m3.236s
2X,1000,500,R6,astral_3_v5.7.7,heron06,3m25.382s,3m43.993s,0m3.303s
2X,1000,500,R7,astral_3_v5.7.7,heron09,3m29.377s,3m51.088s,0m3.306s
2X,1000,500,R8,astral_3_v5.7.7,heron08,3m19.926s,3m39.281s,0m3.393s
2X,1000,500,R9,astral_3_v5.7.7,heron02,3m31.760s,3m49.373s,0m3.380s
