SCAL,NGEN,NBPS,REPL,MTHD,QS,NQS
2X,1000,500,R11,astral_3_v5.7.7,131298423,0.6747786154794942
2X,1000,500,R12,astral_3_v5.7.7,130791911,0.6721755113577963
2X,1000,500,R13,astral_3_v5.7.7,131676603,0.6767221862473018
2X,1000,500,R14,astral_3_v5.7.7,131152794,0.6740301880974406
2X,1000,500,R15,astral_3_v5.7.7,131955567,0.6781558587727413
2X,1000,500,R16,astral_3_v5.7.7,131198115,0.6742631051495529
2X,1000,500,R17,astral_3_v5.7.7,132086146,0.6788269400760613
2X,1000,500,R18,astral_3_v5.7.7,131419383,0.6754002621029911
2X,1000,500,R19,astral_3_v5.7.7,131563153,0.6761391355740569
2X,1000,500,R1,astral_3_v5.7.7,131819417,0.6774561465721041
2X,1000,500,R20,astral_3_v5.7.7,131247614,0.6745174940898345
2X,1000,500,R2,astral_3_v5.7.7,131520739,0.6759211583924349
2X,1000,500,R3,astral_3_v5.7.7,131868260,0.6777071641484222
2X,1000,500,R4,astral_3_v5.7.7,131573469,0.6761921523280913
2X,1000,500,R5,astral_3_v5.7.7,132087861,0.6788357539315448
2X,1000,500,R6,astral_3_v5.7.7,131438864,0.6755003803063008
2X,1000,500,R7,astral_3_v5.7.7,131792925,0.6773199969164354
2X,1000,500,R8,astral_3_v5.7.7,131664758,0.6766613115428102
2X,1000,500,R9,astral_3_v5.7.7,131787536,0.677292301367047
2X,1000,true,R10,astral_3_v5.7.7,148864805,0.7650570716414842
2X,1000,true,R11,astral_3_v5.7.7,148660674,0.7640079864323157
2X,1000,true,R12,astral_3_v5.7.7,148859258,0.7650285640867509
2X,1000,true,R13,astral_3_v5.7.7,148349940,0.7624110391612704
2X,1000,true,R14,astral_3_v5.7.7,148450775,0.7629292578887861
2X,1000,true,R15,astral_3_v5.7.7,148307707,0.762193992188303
2X,1000,true,R16,astral_3_v5.7.7,148359464,0.7624599856100318
2X,1000,true,R17,astral_3_v5.7.7,148407495,0.7627068300955905
2X,1000,true,R18,astral_3_v5.7.7,148458155,0.7629671857333744
2X,1000,true,R19,astral_3_v5.7.7,148571738,0.7635509199301058
2X,1000,true,R1,astral_3_v5.7.7,148356284,0.7624436427176483
2X,1000,true,R20,astral_3_v5.7.7,148600749,0.763700015417823
2X,1000,true,R2,astral_3_v5.7.7,148557269,0.7634765597697605
2X,1000,true,R3,astral_3_v5.7.7,148639527,0.7638993061979649
2X,1000,true,R4,astral_3_v5.7.7,148559719,0.76348915099188
2X,1000,true,R5,astral_3_v5.7.7,148752248,0.7644786103402199
2X,1000,true,R6,astral_3_v5.7.7,147941747,0.7603132233528626
2X,1000,true,R7,astral_3_v5.7.7,148544453,0.76341069482989
2X,1000,true,R8,astral_3_v5.7.7,148567304,0.7635281323877069
2X,1000,true,R9,astral_3_v5.7.7,148166027,0.7614658598005961
0.5X,1000,500,R10,fastral,110834888,0.569610895261589
0.5X,1000,500,R11,fastral,110797371,0.569418085106383
0.5X,1000,500,R12,fastral,110336313,0.5670485815602837
0.5X,1000,500,R13,fastral,110438982,0.5675762257169288
0.5X,1000,500,R14,fastral,110549940,0.5681464693185322
0.5X,1000,500,R15,fastral,110501678,0.5678984376606023
0.5X,1000,500,R16,fastral,110318716,0.5669581457498202
0.5X,1000,500,R17,fastral,111068330,0.570810617740775
0.5X,1000,500,R18,fastral,111405252,0.5725421523280912
0.5X,1000,500,R19,fastral,110806838,0.5694667386165073
0.5X,1000,500,R1,fastral,111222133,0.5716010535512386
