NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NODE,real,user,sys
200,10000000,0.0000001,43,truegenetrees,1000,fastral,heron05,1m9.343s,1m42.755s,0m15.659s
200,10000000,0.0000001,43,truegenetrees,250,fastral,heron03,0m22.364s,0m30.660s,0m6.027s
200,10000000,0.0000001,44,estimatedgenetre,1000,fastral,heron04,1m7.043s,1m37.479s,0m15.495s
200,10000000,0.0000001,44,estimatedgenetre,250,fastral,heron07,0m24.016s,0m31.142s,0m6.175s
200,10000000,0.0000001,44,truegenetrees,1000,fastral,heron04,1m9.407s,1m35.742s,0m14.130s
200,10000000,0.0000001,44,truegenetrees,250,fastral,heron07,0m22.539s,0m29.864s,0m6.555s
200,10000000,0.0000001,45,estimatedgenetre,1000,fastral,heron06,1m6.406s,1m37.979s,0m14.304s
200,10000000,0.0000001,45,estimatedgenetre,250,fastral,heron03,0m23.090s,0m28.311s,0m6.279s
200,10000000,0.0000001,45,truegenetrees,1000,fastral,heron06,1m8.781s,1m36.723s,0m15.184s
200,10000000,0.0000001,45,truegenetrees,250,fastral,heron03,0m22.174s,0m29.848s,0m6.454s
200,10000000,0.0000001,46,estimatedgenetre,1000,fastral,heron08,1m17.318s,1m56.344s,0m14.754s
200,10000000,0.0000001,46,estimatedgenetre,250,fastral,heron04,0m32.008s,0m37.533s,0m6.581s
200,10000000,0.0000001,46,truegenetrees,1000,fastral,heron08,1m8.865s,1m44.143s,0m14.728s
200,10000000,0.0000001,46,truegenetrees,250,fastral,heron04,0m21.852s,0m29.604s,0m6.458s
200,10000000,0.0000001,47,estimatedgenetre,1000,fastral,heron03,1m7.344s,1m37.962s,0m15.025s
200,10000000,0.0000001,47,estimatedgenetre,250,fastral,heron07,0m24.711s,0m31.954s,0m6.481s
200,10000000,0.0000001,47,truegenetrees,1000,fastral,heron03,1m8.556s,1m39.591s,0m16.023s
200,10000000,0.0000001,47,truegenetrees,250,fastral,heron07,0m22.441s,0m30.380s,0m7.009s
200,10000000,0.0000001,48,estimatedgenetre,1000,fastral,heron04,1m6.967s,1m40.886s,0m15.185s
200,10000000,0.0000001,48,estimatedgenetre,250,fastral,heron03,0m23.969s,0m29.263s,0m6.312s
200,10000000,0.0000001,48,truegenetrees,1000,fastral,heron04,1m9.460s,1m44.550s,0m14.560s
200,10000000,0.0000001,48,truegenetrees,250,fastral,heron03,0m22.574s,0m30.383s,0m6.229s
200,10000000,0.0000001,49,estimatedgenetre,1000,fastral,heron05,1m7.351s,1m42.020s,0m14.321s
200,10000000,0.0000001,49,estimatedgenetre,250,fastral,heron06,0m24.927s,0m30.297s,0m6.632s
200,10000000,0.0000001,49,truegenetrees,1000,fastral,heron05,1m8.998s,1m44.199s,0m14.023s
200,10000000,0.0000001,49,truegenetrees,250,fastral,heron06,0m24.493s,0m29.933s,0m5.959s
200,10000000,0.0000001,50,estimatedgenetre,1000,fastral,heron06,1m10.870s,1m41.132s,0m14.398s
200,10000000,0.0000001,50,estimatedgenetre,250,fastral,heron07,0m25.332s,0m32.552s,0m6.485s
200,10000000,0.0000001,50,truegenetrees,1000,fastral,heron06,1m9.019s,1m44.709s,0m14.066s
200,10000000,0.0000001,50,truegenetrees,250,fastral,heron07,0m22.590s,0m30.098s,0m6.331s
200,10000000,0.000001,01,estimatedgenetre,1000,fastral,heron01,1m8.031s,1m39.511s,0m14.219s
200,10000000,0.000001,01,estimatedgenetre,250,fastral,heron07,0m24.742s,0m30.171s,0m5.770s
200,10000000,0.000001,01,truegenetrees,1000,fastral,heron01,1m10.441s,1m46.853s,0m14.434s
200,10000000,0.000001,01,truegenetrees,250,fastral,heron07,0m23.641s,0m31.712s,0m6.600s
200,10000000,0.000001,02,estimatedgenetre,1000,fastral,heron04,1m9.360s,1m43.024s,0m14.878s
200,10000000,0.000001,02,estimatedgenetre,250,fastral,heron07,0m23.820s,0m31.816s,0m6.723s
200,10000000,0.000001,02,truegenetrees,1000,fastral,heron04,1m10.000s,1m44.386s,0m14.230s
200,10000000,0.000001,02,truegenetrees,250,fastral,heron07,0m23.133s,0m31.859s,0m6.030s
200,10000000,0.000001,03,estimatedgenetre,1000,fastral,heron07,1m8.587s,1m38.130s,0m14.944s
200,10000000,0.000001,03,estimatedgenetre,250,fastral,heron07,0m26.745s,0m34.125s,0m6.387s
200,10000000,0.000001,03,truegenetrees,1000,fastral,heron07,1m9.516s,1m44.356s,0m15.080s
200,10000000,0.000001,03,truegenetrees,250,fastral,heron07,0m22.966s,0m30.160s,0m6.367s
