NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF,QSCR,AVG_LPP,MED_LPP,AVG_QQS,MED_QQS
200,50,12,abayes,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,12,bs,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,12,abayes,TQMC-wh_n2,11,11,0.11224489795918367,60953634.4,0.8863402857142858,0.9998485,0.6444588673469387,0.6378159999999999
200,50,12,bs,TQMC-wh_n2,12,12,0.12244897959183673,29040718.99,0.8879985612244898,0.9998655,0.6624465918367346,0.6599595
200,50,12,abayes,TQMC-wh_n1,14,14,0.14285714285714285,NA,NA,NA,NA,NA
200,50,12,bs,TQMC-wh_n1,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,12,abayes,TQMC-wh_n0,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,12,bs,TQMC-wh_n0,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,13,abayes,ASTER-wh,9,9,0.09183673469387756,52642662.8,0.9079354795918367,0.9999415,0.6694113163265306,0.659103
200,50,13,bs,ASTER-wh,12,12,0.12244897959183673,25566547.46,0.923971306122449,0.9999739999999999,0.6955483775510204,0.6786985
200,50,13,abayes,ASTRID-ws,10,10,0.10204081632653061,NA,NA,NA,NA,NA
200,50,13,bs,ASTRID-ws,14,14,0.14285714285714285,NA,NA,NA,NA,NA
200,50,13,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,13,abayes,TQMC-n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,13,bs,TQMC-n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,13,abayes,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,13,bs,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,13,abayes,TQMC-ws_n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,13,bs,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,13,abayes,TQMC-wh_n2,11,11,0.11224489795918367,52498392.2,0.9051445816326531,0.9999415,0.6701264897959184,0.659103
