NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF,QSWN,QSWH,DIFF_QSWN,DIFF_QSWH
200,50,14,abayes,TQMC-wh_n0,17,17,0.17346938775510204,108294522.0,61565778.8,0.0021123616886593644,0.004427743567371783
200,50,14,bs,ASTER-wh,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,14,bs,ASTRID-ws,18,18,0.1836734693877551,NA,NA,NA,NA
200,50,14,bs,TQMC-n2,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,14,bs,TQMC-wn_n2,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,14,bs,TQMC-ws_n2,18,18,0.1836734693877551,NA,NA,NA,NA
200,50,14,bs,TQMC-wh_n2,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,14,bs,TQMC-wh_n1,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,14,bs,TQMC-wh_n0,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,15,abayes,ASTER-wh,8,8,0.08163265306122448,120340233.0,65484816.75,0.0014503442826329397,0.0014618775335243086
200,50,15,abayes,ASTRID-ws,5,5,0.05102040816326531,120321208.0,65428279.28,0.0012920215644113698,0.000597247781663636
200,50,15,abayes,TQMC-n2,8,8,0.08163265306122448,120312381.0,65446175.15,0.0012185648162514853,0.0008709300252700241
200,50,15,abayes,TQMC-wn_n2,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,15,abayes,TQMC-ws_n2,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,15,abayes,TQMC-wh_n2,10,10,0.10204081632653061,120326279.0,65483077.24,0.00133422153834575,0.0014352751386938114
200,50,15,abayes,TQMC-wh_n1,7,7,0.07142857142857142,NA,NA,NA,NA
200,50,15,abayes,TQMC-wh_n0,8,8,0.08163265306122448,120340233.0,65484816.75,0.0014503442826329397,0.0014618775335243086
200,50,15,bs,ASTER-wh,7,7,0.07142857142857142,NA,NA,NA,NA
200,50,15,bs,ASTRID-ws,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,15,bs,TQMC-n2,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,15,bs,TQMC-wn_n2,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,15,bs,TQMC-ws_n2,7,7,0.07142857142857142,NA,NA,NA,NA
200,50,15,bs,TQMC-wh_n2,10,10,0.10204081632653061,NA,NA,NA,NA
200,50,15,bs,TQMC-wh_n1,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,15,bs,TQMC-wh_n0,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,16,abayes,ASTER-wh,24,24,0.24489795918367346,127188914.0,52436070.12,0.0115899499959,0.012088001526219552
200,50,16,abayes,ASTRID-ws,23,23,0.23469387755102042,125864912.0,51828078.57,0.0010595737637822255,0.0003529315376388434
200,50,16,abayes,TQMC-n2,25,25,0.25510204081632654,126452099.0,51956328.6,0.005729732893910835,0.0028283328455807003
200,50,16,abayes,TQMC-wn_n2,25,25,0.25510204081632654,NA,NA,NA,NA
200,50,16,abayes,TQMC-ws_n2,25,25,0.25510204081632654,NA,NA,NA,NA
200,50,16,abayes,TQMC-wh_n2,18,18,0.1836734693877551,126083525.0,51980456.14,0.002798300094431245,0.0032940274272772246
200,50,16,abayes,TQMC-wh_n1,21,21,0.21428571428571427,NA,NA,NA,NA
200,50,16,abayes,TQMC-wh_n0,23,23,0.23469387755102042,127205290.0,52427330.49,0.011720195600647697,0.011919314692127458
200,50,16,bs,ASTER-wh,24,24,0.24489795918367346,NA,NA,NA,NA
200,50,16,bs,ASTRID-ws,21,21,0.21428571428571427,NA,NA,NA,NA
200,50,16,bs,TQMC-n2,25,25,0.25510204081632654,NA,NA,NA,NA
200,50,16,bs,TQMC-wn_n2,25,25,0.25510204081632654,NA,NA,NA,NA
200,50,16,bs,TQMC-ws_n2,21,21,0.21428571428571427,NA,NA,NA,NA
200,50,16,bs,TQMC-wh_n2,21,21,0.21428571428571427,NA,NA,NA,NA
200,50,16,bs,TQMC-wh_n1,23,23,0.23469387755102042,NA,NA,NA,NA
200,50,16,bs,TQMC-wh_n0,24,24,0.24489795918367346,NA,NA,NA,NA
200,50,17,abayes,ASTER-wh,9,9,0.09183673469387756,105386882.0,66548864.05,0.005821635757550359,0.004624871121751522
200,50,17,abayes,ASTRID-ws,10,10,0.10204081632653061,105049111.0,66380584.56,0.002597919738212548,0.0020845157998836544
200,50,17,abayes,TQMC-n2,14,14,0.14285714285714285,105062438.0,66276564.92,0.0027251137939180857,0.0005142302823034098
200,50,17,abayes,TQMC-wn_n2,14,14,0.14285714285714285,NA,NA,NA,NA
200,50,17,abayes,TQMC-ws_n2,9,9,0.09183673469387756,NA,NA,NA,NA
