NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF
200,50,14,bs,TQMC-wh_n2,17,17,0.17346938775510204
200,50,14,abayes,TQMC-wh_n2,14,14,0.14285714285714285
200,50,14,none_keeppoly,TQMC-n2,19,19,0.19387755102040816
200,50,14,none_refinepoly,TQMC-n2,18,18,0.1836734693877551
200,50,14,bs,TQMC-ws_n2,18,18,0.1836734693877551
200,50,14,abayes,TQMC-ws_n2,13,13,0.1326530612244898
200,50,14,bs,TQMC-wh_n1,19,19,0.19387755102040816
200,50,14,abayes,TQMC-wh_n1,19,19,0.19387755102040816
200,50,14,bs,TQMC-wh_n0,19,19,0.19387755102040816
200,50,14,abayes,TQMC-wh_n0,17,17,0.17346938775510204
200,50,15,bs,ASTER-wh,7,7,0.07142857142857142
200,50,15,abayes,ASTER-wh,8,8,0.08163265306122448
200,50,15,bs,ASTRID-ws,11,11,0.11224489795918367
200,50,15,abayes,ASTRID-ws,5,5,0.05102040816326531
200,50,15,bs,TQMC-wh_n2,10,10,0.10204081632653061
200,50,15,abayes,TQMC-wh_n2,10,10,0.10204081632653061
200,50,15,none_keeppoly,TQMC-n2,8,8,0.08163265306122448
200,50,15,none_refinepoly,TQMC-n2,8,8,0.08163265306122448
200,50,15,bs,TQMC-ws_n2,7,7,0.07142857142857142
200,50,15,abayes,TQMC-ws_n2,8,8,0.08163265306122448
200,50,15,bs,TQMC-wh_n1,11,11,0.11224489795918367
200,50,15,abayes,TQMC-wh_n1,7,7,0.07142857142857142
200,50,15,bs,TQMC-wh_n0,8,8,0.08163265306122448
200,50,15,abayes,TQMC-wh_n0,8,8,0.08163265306122448
200,50,16,bs,ASTER-wh,24,24,0.24489795918367346
200,50,16,abayes,ASTER-wh,24,24,0.24489795918367346
200,50,16,bs,ASTRID-ws,21,21,0.21428571428571427
200,50,16,abayes,ASTRID-ws,23,23,0.23469387755102042
200,50,16,bs,TQMC-wh_n2,21,21,0.21428571428571427
200,50,16,abayes,TQMC-wh_n2,18,18,0.1836734693877551
200,50,16,none_keeppoly,TQMC-n2,25,25,0.25510204081632654
200,50,16,none_refinepoly,TQMC-n2,25,25,0.25510204081632654
200,50,16,bs,TQMC-ws_n2,21,21,0.21428571428571427
200,50,16,abayes,TQMC-ws_n2,25,25,0.25510204081632654
200,50,16,bs,TQMC-wh_n1,23,23,0.23469387755102042
200,50,16,abayes,TQMC-wh_n1,21,21,0.21428571428571427
200,50,16,bs,TQMC-wh_n0,24,24,0.24489795918367346
200,50,16,abayes,TQMC-wh_n0,23,23,0.23469387755102042
200,50,17,bs,ASTER-wh,13,13,0.1326530612244898
200,50,17,abayes,ASTER-wh,9,9,0.09183673469387756
200,50,17,bs,ASTRID-ws,12,12,0.12244897959183673
200,50,17,abayes,ASTRID-ws,10,10,0.10204081632653061
200,50,17,bs,TQMC-wh_n2,15,15,0.15306122448979592
200,50,17,abayes,TQMC-wh_n2,10,10,0.10204081632653061
200,50,17,none_keeppoly,TQMC-n2,12,12,0.12244897959183673
200,50,17,none_refinepoly,TQMC-n2,14,14,0.14285714285714285
200,50,17,bs,TQMC-ws_n2,15,15,0.15306122448979592
200,50,17,abayes,TQMC-ws_n2,9,9,0.09183673469387756
200,50,17,bs,TQMC-wh_n1,14,14,0.14285714285714285
200,50,17,abayes,TQMC-wh_n1,9,9,0.09183673469387756
200,50,17,bs,TQMC-wh_n0,17,17,0.17346938775510204
200,50,17,abayes,TQMC-wh_n0,12,12,0.12244897959183673
200,50,18,bs,ASTER-wh,11,11,0.11224489795918367
200,50,18,abayes,ASTER-wh,9,9,0.09183673469387756
200,50,18,bs,ASTRID-ws,13,13,0.1326530612244898
200,50,18,abayes,ASTRID-ws,11,11,0.11224489795918367
200,50,18,bs,TQMC-wh_n2,10,10,0.10204081632653061
200,50,18,abayes,TQMC-wh_n2,9,9,0.09183673469387756
200,50,18,none_keeppoly,TQMC-n2,10,10,0.10204081632653061
200,50,18,none_refinepoly,TQMC-n2,10,10,0.10204081632653061
200,50,18,bs,TQMC-ws_n2,11,11,0.11224489795918367
200,50,18,abayes,TQMC-ws_n2,10,10,0.10204081632653061
200,50,18,bs,TQMC-wh_n1,11,11,0.11224489795918367
200,50,18,abayes,TQMC-wh_n1,9,9,0.09183673469387756
200,50,18,bs,TQMC-wh_n0,11,11,0.11224489795918367
200,50,18,abayes,TQMC-wh_n0,11,11,0.11224489795918367
200,50,19,bs,ASTER-wh,20,20,0.20408163265306123
200,50,19,abayes,ASTER-wh,18,18,0.1836734693877551
200,50,19,bs,ASTRID-ws,21,21,0.21428571428571427
200,50,19,abayes,ASTRID-ws,18,18,0.1836734693877551
200,50,19,bs,TQMC-wh_n2,20,20,0.20408163265306123
200,50,19,abayes,TQMC-wh_n2,17,17,0.17346938775510204
200,50,19,none_keeppoly,TQMC-n2,24,24,0.24489795918367346
200,50,19,none_refinepoly,TQMC-n2,24,24,0.24489795918367346
200,50,19,bs,TQMC-ws_n2,20,20,0.20408163265306123
200,50,19,abayes,TQMC-ws_n2,16,16,0.16326530612244897
200,50,19,bs,TQMC-wh_n1,20,20,0.20408163265306123
200,50,19,abayes,TQMC-wh_n1,19,19,0.19387755102040816
