SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
1X,200,500,R1,quartets,heron05,2m11.451s,5m38.619s,2m32.938s
1X,200,500,R20,quartets,heron04,2m21.539s,5m46.784s,2m47.807s
1X,200,500,R2,quartets,heron01,2m18.325s,5m44.801s,2m42.298s
1X,200,500,R3,quartets,heron06,2m14.362s,5m32.468s,2m38.672s
1X,200,500,R4,quartets,heron02,2m18.391s,5m52.652s,2m39.851s
1X,200,500,R5,quartets,heron08,2m10.856s,5m48.045s,2m30.088s
1X,200,500,R6,quartets,heron10,2m13.678s,5m26.453s,2m38.315s
1X,200,500,R7,quartets,heron07,2m20.350s,6m2.010s,2m47.036s
1X,200,500,R8,quartets,heron04,2m24.021s,5m48.978s,2m52.024s
1X,200,500,R9,quartets,heron03,2m22.041s,5m47.908s,2m49.186s
1X,200,true,R10,quartets,heron01,2m18.892s,5m42.135s,2m47.604s
1X,200,true,R11,quartets,heron06,2m14.521s,5m24.609s,2m38.721s
1X,200,true,R12,quartets,heron02,2m14.746s,5m37.262s,2m37.150s
1X,200,true,R13,quartets,heron08,2m6.788s,5m34.235s,2m26.538s
1X,200,true,R14,quartets,heron00,4m15.792s,10m52.257s,4m58.682s
1X,200,true,R15,quartets,heron10,2m12.724s,6m3.418s,2m35.958s
1X,200,true,R16,quartets,heron07,2m25.109s,5m52.169s,2m54.895s
1X,200,true,R17,quartets,heron03,2m17.317s,5m46.153s,2m45.646s
1X,200,true,R18,quartets,heron04,2m23.964s,5m48.773s,2m52.528s
1X,200,true,R19,quartets,heron09,2m16.798s,5m44.800s,2m42.843s
1X,200,true,R1,quartets,heron10,2m14.553s,5m27.329s,2m38.067s
1X,200,true,R20,quartets,heron11,2m13.162s,5m42.351s,2m34.768s
1X,200,true,R2,quartets,heron07,2m23.224s,5m51.788s,2m53.003s
1X,200,true,R3,quartets,heron03,0m37.041s,1m25.788s,0m42.126s
1X,200,true,R4,quartets,heron03,2m21.790s,5m37.423s,2m49.155s
1X,200,true,R5,quartets,heron04,2m24.140s,5m41.479s,2m50.919s
1X,200,true,R6,quartets,heron09,2m19.742s,5m42.668s,2m46.015s
1X,200,true,R7,quartets,heron05,2m11.499s,5m40.041s,2m31.242s
1X,200,true,R8,quartets,heron11,2m10.816s,5m41.689s,2m32.675s
1X,200,true,R9,quartets,heron04,2m20.706s,5m42.755s,2m47.578s
1X,25,500,R10,quartets,heron02,0m20.192s,0m44.253s,0m21.689s
1X,25,500,R11,quartets,heron06,0m20.048s,0m44.034s,0m22.011s
1X,25,500,R12,quartets,heron07,0m21.282s,0m45.085s,0m23.329s
1X,25,500,R13,quartets,heron10,0m20.353s,0m44.140s,0m21.881s
1X,25,500,R14,quartets,heron08,0m19.842s,0m45.708s,0m20.661s
1X,25,500,R15,quartets,heron04,0m21.675s,0m44.490s,0m24.566s
1X,25,500,R16,quartets,heron09,0m20.899s,0m44.841s,0m22.535s
1X,25,500,R17,quartets,heron03,0m21.347s,0m44.773s,0m23.296s
1X,25,500,R18,quartets,heron05,0m20.817s,0m44.486s,0m22.166s
1X,25,500,R19,quartets,heron11,0m20.173s,0m44.353s,0m21.897s
1X,25,500,R1,quartets,heron07,0m21.565s,0m45.211s,0m23.198s
1X,25,500,R20,quartets,heron01,0m20.421s,0m44.113s,0m21.910s
1X,25,500,R2,quartets,heron10,0m21.764s,0m44.928s,0m23.129s
1X,25,500,R3,quartets,heron08,0m21.150s,0m45.874s,0m22.965s
1X,25,500,R4,quartets,heron04,0m21.469s,0m44.491s,0m24.069s
1X,25,500,R5,quartets,heron09,0m21.219s,0m45.300s,0m23.327s
1X,25,500,R6,quartets,heron03,0m21.723s,0m44.637s,0m24.028s
1X,25,500,R7,quartets,heron05,0m19.510s,0m43.840s,0m20.569s
1X,25,500,R8,quartets,heron11,0m20.220s,0m44.386s,0m22.146s
1X,25,500,R9,quartets,heron01,0m20.319s,0m43.644s,0m22.156s
1X,500,500,R10,quartets,heron02,5m25.450s,14m28.144s,6m12.826s
1X,500,500,R11,quartets,heron08,5m7.804s,14m15.677s,5m54.891s
1X,500,500,R12,quartets,heron07,5m42.981s,14m36.702s,6m49.631s
1X,500,500,R13,quartets,heron10,5m23.889s,13m59.751s,6m28.386s
1X,500,500,R14,quartets,heron04,5m45.164s,14m10.405s,6m52.437s
1X,500,500,R15,quartets,heron00,10m25.090s,26m29.208s,12m11.073s
1X,500,500,R16,quartets,heron03,5m28.274s,14m18.319s,6m29.560s
1X,500,500,R17,quartets,heron05,5m26.514s,14m17.900s,6m20.672s
1X,500,500,R18,quartets,heron09,5m43.111s,14m18.371s,6m45.766s
1X,500,500,R19,quartets,heron01,5m42.822s,14m14.674s,6m49.440s
1X,500,500,R1,quartets,heron07,5m43.779s,14m10.489s,6m53.862s
1X,500,500,R20,quartets,heron11,5m33.745s,14m24.016s,6m28.843s
1X,500,500,R2,quartets,heron10,5m22.157s,14m53.512s,6m21.418s
1X,500,500,R3,quartets,heron04,6m2.134s,14m18.638s,7m12.956s
1X,500,500,R4,quartets,heron03,5m37.324s,14m7.135s,6m40.003s
1X,500,500,R5,quartets,heron11,5m36.653s,14m18.160s,6m32.105s
1X,500,500,R6,quartets,heron05,5m23.349s,13m58.840s,6m22.253s
1X,500,500,R7,quartets,heron09,5m43.512s,14m22.117s,6m49.379s
1X,500,500,R8,quartets,heron01,5m34.499s,14m2.995s,6m39.844s
1X,500,500,R9,quartets,heron06,5m26.986s,13m49.820s,6m33.451s
1X,500,true,R10,quartets,heron07,5m47.287s,14m24.656s,6m58.753s
1X,500,true,R11,quartets,heron04,5m43.484s,14m1.974s,6m48.025s
1X,500,true,R12,quartets,heron00,10m20.499s,27m8.017s,12m6.480s
1X,500,true,R13,quartets,heron03,5m41.507s,14m37.315s,6m44.794s
1X,500,true,R14,quartets,heron11,5m24.465s,14m22.929s,6m22.146s
1X,500,true,R15,quartets,heron09,5m44.343s,14m27.271s,6m51.538s
1X,500,true,R16,quartets,heron05,5m18.778s,14m36.361s,6m11.021s
1X,500,true,R17,quartets,heron01,5m36.346s,14m9.041s,6m43.098s
1X,500,true,R18,quartets,heron02,5m36.765s,14m40.718s,6m36.257s
1X,500,true,R19,quartets,heron06,5m23.812s,14m41.190s,6m26.108s
1X,500,true,R1,quartets,heron03,5m42.242s,14m36.263s,6m45.746s
1X,500,true,R20,quartets,heron08,5m25.423s,14m17.973s,6m20.926s
1X,500,true,R2,quartets,heron09,5m43.972s,14m23.345s,6m52.617s
1X,500,true,R3,quartets,heron11,5m31.259s,14m12.006s,6m29.300s
1X,500,true,R4,quartets,heron05,5m9.822s,14m45.578s,6m0.787s
1X,500,true,R5,quartets,heron01,5m28.742s,14m1.735s,6m34.997s
1X,500,true,R6,quartets,heron06,5m26.186s,13m59.253s,6m26.722s
1X,500,true,R7,quartets,heron02,5m26.180s,14m0.132s,6m19.257s
1X,500,true,R8,quartets,heron08,5m22.023s,14m22.079s,6m17.172s
1X,500,true,R9,quartets,heron10,5m34.902s,14m22.845s,6m38.396s
1X,50,500,R10,quartets,heron09,0m37.839s,1m25.515s,0m42.443s
1X,50,500,R11,quartets,heron05,0m37.150s,1m30.595s,0m40.110s
1X,50,500,R12,quartets,heron11,0m36.044s,1m26.139s,0m39.464s
1X,50,500,R13,quartets,heron01,0m36.694s,1m23.517s,0m41.428s
1X,50,500,R14,quartets,heron06,0m37.367s,1m25.354s,0m42.999s
1X,50,500,R15,quartets,heron02,0m38.282s,1m27.112s,0m42.892s
1X,50,500,R16,quartets,heron10,0m35.859s,1m24.415s,0m41.176s
1X,50,500,R17,quartets,heron07,0m37.325s,1m26.413s,0m42.061s
1X,50,500,R18,quartets,heron08,0m35.930s,1m27.516s,0m39.509s
1X,50,500,R19,quartets,heron04,0m37.477s,1m26.961s,0m41.555s
1X,50,500,R1,quartets,heron11,0m36.165s,1m27.599s,0m40.715s
1X,50,500,R20,quartets,heron03,0m38.356s,1m29.560s,0m43.850s
1X,50,500,R2,quartets,heron01,0m38.949s,1m25.140s,0m44.874s
1X,50,500,R3,quartets,heron06,0m34.381s,1m23.077s,0m38.868s
1X,50,500,R4,quartets,heron02,0m37.451s,1m24.277s,0m42.024s
1X,50,500,R5,quartets,heron07,0m38.278s,1m24.065s,0m43.679s
1X,50,500,R6,quartets,heron10,0m37.516s,1m25.373s,0m43.188s
1X,50,500,R7,quartets,heron08,0m35.092s,1m26.698s,0m38.873s
1X,50,500,R8,quartets,heron04,0m38.637s,1m26.175s,0m44.231s
1X,50,500,R9,quartets,heron03,0m38.277s,1m25.401s,0m42.624s
1X,50,true,R10,quartets,heron11,0m35.221s,1m32.469s,0m39.294s
1X,50,true,R11,quartets,heron01,0m36.194s,1m26.956s,0m41.409s
1X,50,true,R12,quartets,heron02,0m38.603s,1m26.273s,0m43.757s
1X,50,true,R13,quartets,heron06,0m35.269s,1m22.958s,0m40.255s
1X,50,true,R14,quartets,heron07,0m37.916s,1m27.456s,0m43.447s
1X,50,true,R15,quartets,heron10,0m37.684s,1m26.261s,0m43.043s
1X,50,true,R16,quartets,heron08,0m35.502s,1m25.667s,0m39.348s
1X,50,true,R17,quartets,heron04,0m39.955s,1m26.961s,0m46.729s
1X,50,true,R18,quartets,heron09,0m39.015s,1m25.428s,0m45.123s
1X,50,true,R19,quartets,heron03,0m38.611s,1m26.672s,0m44.092s
1X,50,true,R1,quartets,heron06,0m35.477s,1m23.207s,0m40.109s
1X,50,true,R20,quartets,heron05,0m37.104s,1m26.977s,0m41.644s
1X,50,true,R2,quartets,heron02,0m37.739s,1m24.840s,0m42.293s
1X,50,true,R3,quartets,heron07,0m38.143s,1m30.014s,0m44.448s
1X,50,true,R4,quartets,heron10,0m36.021s,1m22.181s,0m41.311s
1X,50,true,R5,quartets,heron08,0m34.429s,1m27.108s,0m38.551s
1X,50,true,R6,quartets,heron04,0m39.919s,1m27.651s,0m45.261s
1X,50,true,R7,quartets,heron09,0m37.182s,1m26.979s,0m43.099s
1X,50,true,R8,quartets,heron03,0m37.945s,1m30.935s,0m43.860s
1X,50,true,R9,quartets,heron05,0m35.876s,1m25.379s,0m40.394s
2X,1000,500,R10,quartets,heron10,10m51.164s,27m53.134s,13m4.613s
2X,1000,500,R11,quartets,heron07,11m31.112s,28m42.869s,13m56.354s
2X,1000,500,R12,quartets,heron11,11m0.059s,29m33.423s,12m53.099s
2X,1000,500,R13,quartets,heron04,11m32.580s,28m52.704s,13m48.585s
2X,1000,500,R14,quartets,heron03,11m37.261s,28m36.974s,13m48.497s
