SCAL,NGEN,NBPS,REPL,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
0.5X,1000,500,R5,wqmc_v3.0,heron02,10,0.22222199999999998,0.5648014184397163,679.4,0.9981027377097439
0.5X,1000,500,R5,TRUE,heron02,0,0.0,0.5683748689485044,0.0,0.0
0.5X,1000,500,R6,treeqmc_n0_v1.0.0,heron03,4,0.088889,0.5673688714153562,10.648,0.0
0.5X,1000,500,R6,treeqmc_n1_v1.0.0,heron03,4,0.088889,0.5675518398602117,11.323,0.0
0.5X,1000,500,R6,treeqmc_n2_v1.0.0,heron03,3,0.06666699999999999,0.5674800955905026,11.323,0.0
0.5X,1000,500,R6,astral_3_v5.7.7,heron03,6,0.13333299999999998,0.5674052369205468,249.417,0.0
0.5X,1000,500,R6,fastral,heron03,4,0.088889,0.5675518398602117,20.735,0.0
0.5X,1000,500,R6,wqfm_v1.3,heron03,4,0.088889,0.5675360211738103,708.39,0.9441084713222943
0.5X,1000,500,R6,wqmc_v3.0,heron03,13,0.288889,0.5613703361085415,670.14,0.9979959411466262
0.5X,1000,500,R6,TRUE,heron03,0,0.0,0.5665159009147909,0.0,0.0
0.5X,1000,500,R7,treeqmc_n0_v1.0.0,heron11,7,0.155556,0.5649965464076473,10.633,0.0
0.5X,1000,500,R7,treeqmc_n1_v1.0.0,heron11,6,0.13333299999999998,0.5649127710967211,11.112,0.0
0.5X,1000,500,R7,treeqmc_n2_v1.0.0,heron11,4,0.088889,0.563845343817453,11.026,0.0
0.5X,1000,500,R7,astral_3_v5.7.7,heron11,7,0.155556,0.5642962174940899,236.202,0.0
0.5X,1000,500,R7,fastral,heron11,7,0.155556,0.56525436324391,20.791,0.0
0.5X,1000,500,R7,wqfm_v1.3,heron11,4,0.088889,0.5648753366224689,706.9989999999999,0.9232304430416451
0.5X,1000,500,R7,wqmc_v3.0,heron11,8,0.177778,0.561815027238154,654.0569999999999,0.9979604224096678
0.5X,1000,500,R7,TRUE,heron11,0,0.0,0.5641514801110084,0.0,0.0
0.5X,1000,500,R8,treeqmc_n0_v1.0.0,heron01,6,0.13333299999999998,0.5703913660191181,10.772,0.0
0.5X,1000,500,R8,treeqmc_n1_v1.0.0,heron01,7,0.155556,0.5703139891047384,11.23,0.0
0.5X,1000,500,R8,treeqmc_n2_v1.0.0,heron01,6,0.13333299999999998,0.5703016805427074,11.278,0.0
