NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
10,medium,shallow,19,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,19,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,19,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,19,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,19,sh,50,ASTER-wh,0,0.0
10,medium,shallow,19,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,19,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,20,none,50,CA-ML,1,0.125
10,medium,shallow,20,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,20,none,50,TQMC-n2,2,0.25
10,medium,shallow,20,abayes,50,TQMC-ws_n2,2,0.25
10,medium,shallow,20,sh,50,TQMC-ws_n2,2,0.25
10,medium,shallow,20,abayes,50,TQMC-wh_n2,2,0.25
10,medium,shallow,20,sh,50,TQMC-wh_n2,2,0.25
10,medium,shallow,20,abayes,50,ASTER-wh,2,0.25
10,medium,shallow,20,sh,50,ASTER-wh,2,0.25
10,medium,shallow,20,abayes,50,ASTRID-ws,2,0.25
10,medium,shallow,20,sh,50,ASTRID-ws,2,0.25
10,medium,shallow,21,none,50,CA-ML,0,0.0
10,medium,shallow,21,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,21,none,50,TQMC-n2,0,0.0
10,medium,shallow,21,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,21,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,21,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,21,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,21,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,21,sh,50,ASTER-wh,0,0.0
10,medium,shallow,21,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,21,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,22,none,50,CA-ML,0,0.0
10,medium,shallow,22,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,22,none,50,TQMC-n2,0,0.0
10,medium,shallow,22,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,22,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,22,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,22,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,22,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,22,sh,50,ASTER-wh,0,0.0
10,medium,shallow,22,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,22,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,23,none,50,CA-ML,0,0.0
10,medium,shallow,23,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,23,none,50,TQMC-n2,0,0.0
10,medium,shallow,23,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,23,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,23,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,23,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,23,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,23,sh,50,ASTER-wh,0,0.0
10,medium,shallow,23,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,23,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,24,none,50,CA-ML,1,0.125
