"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
10,"medium","shallow",33,"sh",1000,"ASTRID-ws","cbcb05",23,2.875,0.061
10,"medium","shallow",33,"sh",1000,"TQMC-wh_n2","cbcb05",23,2.875,0.318
10,"medium","shallow",33,"sh",1000,"ASTER-wh (1 thread)","cbcb05",23,2.875,0.458
10,"medium","shallow",33,"sh",1000,"ASTER-wh (16 threads)","cbcb05",23,2.875,0.163
10,"medium","shallow",34,"sh",1000,"ASTRID-ws","cbcb19",23,2.875,0.06
10,"medium","shallow",34,"sh",1000,"TQMC-wh_n2","cbcb19",23,2.875,0.321
10,"medium","shallow",34,"sh",1000,"ASTER-wh (1 thread)","cbcb19",23,2.875,0.735
10,"medium","shallow",34,"sh",1000,"ASTER-wh (16 threads)","cbcb19",23,2.875,0.126
10,"medium","shallow",35,"sh",1000,"ASTRID-ws","cbcb21",23,2.875,0.047
10,"medium","shallow",35,"sh",1000,"TQMC-wh_n2","cbcb21",23,2.875,0.325
10,"medium","shallow",35,"sh",1000,"ASTER-wh (1 thread)","cbcb21",23,2.875,0.468
10,"medium","shallow",35,"sh",1000,"ASTER-wh (16 threads)","cbcb21",23,2.875,0.156
10,"medium","shallow",36,"sh",1000,"ASTRID-ws","cbcb10",23,2.875,0.042
10,"medium","shallow",36,"sh",1000,"TQMC-wh_n2","cbcb10",23,2.875,0.318
10,"medium","shallow",36,"sh",1000,"ASTER-wh (1 thread)","cbcb10",23,2.875,0.5
10,"medium","shallow",36,"sh",1000,"ASTER-wh (16 threads)","cbcb10",23,2.875,0.089
10,"medium","shallow",37,"sh",1000,"ASTRID-ws","cbcb07",23,2.875,0.051
10,"medium","shallow",37,"sh",1000,"TQMC-wh_n2","cbcb07",23,2.875,0.365
10,"medium","shallow",37,"sh",1000,"ASTER-wh (1 thread)","cbcb07",23,2.875,0.666
10,"medium","shallow",37,"sh",1000,"ASTER-wh (16 threads)","cbcb07",23,2.875,0.089
10,"medium","shallow",38,"sh",1000,"ASTRID-ws","cbcb20",23,2.875,0.08
10,"medium","shallow",38,"sh",1000,"TQMC-wh_n2","cbcb20",23,2.875,0.297
10,"medium","shallow",38,"sh",1000,"ASTER-wh (1 thread)","cbcb20",23,2.875,0.943
10,"medium","shallow",38,"sh",1000,"ASTER-wh (16 threads)","cbcb20",23,2.875,0.12
10,"medium","shallow",39,"sh",1000,"ASTRID-ws","cbcb08",23,2.875,0.058
10,"medium","shallow",39,"sh",1000,"TQMC-wh_n2","cbcb08",23,2.875,0.32
10,"medium","shallow",39,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,2.875,0.734
10,"medium","shallow",39,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,2.875,0.142
10,"medium","shallow",40,"sh",1000,"ASTRID-ws","cbcb09",23,2.875,0.043
10,"medium","shallow",40,"sh",1000,"TQMC-wh_n2","cbcb09",23,2.875,0.306
10,"medium","shallow",40,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,2.875,0.737
10,"medium","shallow",40,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,2.875,0.096
10,"medium","shallow",42,"sh",1000,"ASTRID-ws","cbcb05",23,2.875,0.05
10,"medium","shallow",42,"sh",1000,"TQMC-wh_n2","cbcb05",23,2.875,0.32
10,"medium","shallow",42,"sh",1000,"ASTER-wh (1 thread)","cbcb05",23,2.875,0.659
10,"medium","shallow",42,"sh",1000,"ASTER-wh (16 threads)","cbcb05",23,2.875,0.124
10,"medium","shallow",43,"sh",1000,"ASTRID-ws","cbcb06",23,2.875,0.058
10,"medium","shallow",43,"sh",1000,"TQMC-wh_n2","cbcb06",23,2.875,0.369
10,"medium","shallow",43,"sh",1000,"ASTER-wh (1 thread)","cbcb06",23,2.875,0.476
10,"medium","shallow",43,"sh",1000,"ASTER-wh (16 threads)","cbcb06",23,2.875,0.164
10,"medium","shallow",44,"sh",1000,"ASTRID-ws","cbcb10",23,2.875,0.047
10,"medium","shallow",44,"sh",1000,"TQMC-wh_n2","cbcb10",23,2.875,0.322
10,"medium","shallow",44,"sh",1000,"ASTER-wh (1 thread)","cbcb10",23,2.875,0.5
