"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
200,"low","deep",30,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,0.11616161616161616,25.565
200,"low","deep",31,"sh",1000,"ASTRID-ws","cbcb21",23,0.11616161616161616,0.273
200,"low","deep",31,"sh",1000,"TQMC-wh_n2","cbcb21",23,0.11616161616161616,160.072
200,"low","deep",31,"sh",1000,"ASTER-wh (1 thread)","cbcb21",23,0.11616161616161616,469.876
200,"low","deep",31,"sh",1000,"ASTER-wh (16 threads)","cbcb21",23,0.11616161616161616,26.311
200,"low","deep",32,"sh",1000,"ASTRID-ws","cbcb08",23,0.11616161616161616,0.264
200,"low","deep",32,"sh",1000,"TQMC-wh_n2","cbcb08",23,0.11616161616161616,162.472
200,"low","deep",32,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,0.11616161616161616,544.429
200,"low","deep",32,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,0.11616161616161616,46.633
200,"low","deep",33,"sh",1000,"ASTRID-ws","cbcb06",23,0.11616161616161616,0.268
200,"low","deep",33,"sh",1000,"TQMC-wh_n2","cbcb06",23,0.11616161616161616,163.397
200,"low","deep",33,"sh",1000,"ASTER-wh (1 thread)","cbcb06",23,0.11616161616161616,460.655
200,"low","deep",33,"sh",1000,"ASTER-wh (16 threads)","cbcb06",23,0.11616161616161616,43.783
200,"low","deep",34,"sh",1000,"ASTRID-ws","cbcb14",23,0.11616161616161616,0.277
200,"low","deep",34,"sh",1000,"TQMC-wh_n2","cbcb14",23,0.11616161616161616,171.976
200,"low","deep",34,"sh",1000,"ASTER-wh (1 thread)","cbcb14",23,0.11616161616161616,489.473
200,"low","deep",34,"sh",1000,"ASTER-wh (16 threads)","cbcb14",23,0.11616161616161616,46.568
200,"low","deep",35,"sh",1000,"ASTRID-ws","cbcb16",23,0.11616161616161616,0.267
200,"low","deep",35,"sh",1000,"TQMC-wh_n2","cbcb16",23,0.11616161616161616,161.424
200,"low","deep",35,"sh",1000,"ASTER-wh (1 thread)","cbcb16",23,0.11616161616161616,1264.159
200,"low","deep",35,"sh",1000,"ASTER-wh (16 threads)","cbcb16",23,0.11616161616161616,47.87
200,"low","deep",36,"sh",1000,"ASTRID-ws","cbcb19",23,0.11616161616161616,0.271
200,"low","deep",36,"sh",1000,"TQMC-wh_n2","cbcb19",23,0.11616161616161616,157.84199999999998
200,"low","deep",36,"sh",1000,"ASTER-wh (1 thread)","cbcb19",23,0.11616161616161616,638.2
200,"low","deep",36,"sh",1000,"ASTER-wh (16 threads)","cbcb19",23,0.11616161616161616,25.476
200,"low","deep",37,"sh",1000,"ASTRID-ws","cbcb12",23,0.11616161616161616,0.28
200,"low","deep",37,"sh",1000,"TQMC-wh_n2","cbcb12",23,0.11616161616161616,170.96800000000002
200,"low","deep",37,"sh",1000,"ASTER-wh (1 thread)","cbcb12",23,0.11616161616161616,589.61
200,"low","deep",37,"sh",1000,"ASTER-wh (16 threads)","cbcb12",23,0.11616161616161616,24.748
200,"low","deep",38,"sh",1000,"ASTRID-ws","cbcb05",23,0.11616161616161616,0.277
200,"low","deep",38,"sh",1000,"TQMC-wh_n2","cbcb05",23,0.11616161616161616,166.208
200,"low","deep",38,"sh",1000,"ASTER-wh (1 thread)","cbcb05",23,0.11616161616161616,460.527
200,"low","deep",38,"sh",1000,"ASTER-wh (16 threads)","cbcb05",23,0.11616161616161616,44.373
200,"low","deep",39,"sh",1000,"ASTRID-ws","cbcb15",23,0.11616161616161616,0.269
200,"low","deep",39,"sh",1000,"TQMC-wh_n2","cbcb15",23,0.11616161616161616,159.405
200,"low","deep",39,"sh",1000,"ASTER-wh (1 thread)","cbcb15",23,0.11616161616161616,445.415
200,"low","deep",39,"sh",1000,"ASTER-wh (16 threads)","cbcb15",23,0.11616161616161616,25.363
200,"low","deep",40,"sh",1000,"ASTRID-ws","cbcb04",23,0.11616161616161616,0.262
200,"low","deep",40,"sh",1000,"TQMC-wh_n2","cbcb04",23,0.11616161616161616,156.439
200,"low","deep",40,"sh",1000,"ASTER-wh (1 thread)","cbcb04",23,0.11616161616161616,414.852
200,"low","deep",40,"sh",1000,"ASTER-wh (16 threads)","cbcb04",23,0.11616161616161616,23.061
200,"low","deep",41,"sh",1000,"ASTRID-ws","cbcb20",23,0.11616161616161616,0.258
200,"low","deep",41,"sh",1000,"TQMC-wh_n2","cbcb20",23,0.11616161616161616,159.997
200,"low","deep",41,"sh",1000,"ASTER-wh (1 thread)","cbcb20",23,0.11616161616161616,879.212
200,"low","deep",41,"sh",1000,"ASTER-wh (16 threads)","cbcb20",23,0.11616161616161616,24.645
200,"low","deep",42,"sh",1000,"ASTRID-ws","cbcb07",23,0.11616161616161616,0.282
200,"low","deep",42,"sh",1000,"TQMC-wh_n2","cbcb07",23,0.11616161616161616,168.143
200,"low","deep",42,"sh",1000,"ASTER-wh (1 thread)","cbcb07",23,0.11616161616161616,617.369
200,"low","deep",42,"sh",1000,"ASTER-wh (16 threads)","cbcb07",23,0.11616161616161616,25.406
200,"low","deep",43,"sh",1000,"ASTRID-ws","cbcb18",23,0.11616161616161616,0.268
200,"low","deep",43,"sh",1000,"TQMC-wh_n2","cbcb18",23,0.11616161616161616,160.78199999999998
200,"low","deep",43,"sh",1000,"ASTER-wh (1 thread)","cbcb18",23,0.11616161616161616,601.114
200,"low","deep",43,"sh",1000,"ASTER-wh (16 threads)","cbcb18",23,0.11616161616161616,41.862
200,"low","deep",44,"sh",1000,"ASTRID-ws","cbcb17",23,0.11616161616161616,0.265
200,"low","deep",44,"sh",1000,"TQMC-wh_n2","cbcb17",23,0.11616161616161616,155.50900000000001
200,"low","deep",44,"sh",1000,"ASTER-wh (1 thread)","cbcb17",23,0.11616161616161616,437.60699999999997
200,"low","deep",44,"sh",1000,"ASTER-wh (16 threads)","cbcb17",23,0.11616161616161616,23.916
200,"low","deep",45,"sh",1000,"ASTRID-ws","cbcb03",23,0.11616161616161616,0.269
200,"low","deep",45,"sh",1000,"TQMC-wh_n2","cbcb03",23,0.11616161616161616,157.631
200,"low","deep",45,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,0.11616161616161616,597.721
200,"low","deep",45,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,0.11616161616161616,24.105
200,"low","deep",46,"sh",1000,"ASTRID-ws","cbcb13",23,0.11616161616161616,0.277
200,"low","deep",46,"sh",1000,"TQMC-wh_n2","cbcb13",23,0.11616161616161616,170.734
200,"low","deep",46,"sh",1000,"ASTER-wh (1 thread)","cbcb13",23,0.11616161616161616,493.062
200,"low","deep",46,"sh",1000,"ASTER-wh (16 threads)","cbcb13",23,0.11616161616161616,39.124
200,"low","deep",47,"sh",1000,"ASTRID-ws","cbcb21",23,0.11616161616161616,0.281
200,"low","deep",47,"sh",1000,"TQMC-wh_n2","cbcb21",23,0.11616161616161616,168.988
200,"low","deep",47,"sh",1000,"ASTER-wh (1 thread)","cbcb21",23,0.11616161616161616,580.815
200,"low","deep",47,"sh",1000,"ASTER-wh (16 threads)","cbcb21",23,0.11616161616161616,23.248
200,"low","deep",48,"sh",1000,"ASTRID-ws","cbcb06",23,0.11616161616161616,0.269
200,"low","deep",48,"sh",1000,"TQMC-wh_n2","cbcb06",23,0.11616161616161616,158.954
200,"low","deep",48,"sh",1000,"ASTER-wh (1 thread)","cbcb06",23,0.11616161616161616,595.083
200,"low","deep",48,"sh",1000,"ASTER-wh (16 threads)","cbcb06",23,0.11616161616161616,31.698
200,"low","deep",49,"sh",1000,"ASTRID-ws","cbcb09",23,0.11616161616161616,0.277
200,"low","deep",49,"sh",1000,"TQMC-wh_n2","cbcb09",23,0.11616161616161616,160.16
200,"low","deep",49,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,0.11616161616161616,464.594
200,"low","deep",49,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,0.11616161616161616,42.782
200,"low","deep",50,"sh",1000,"ASTRID-ws","cbcb11",23,0.11616161616161616,0.268
200,"low","deep",50,"sh",1000,"TQMC-wh_n2","cbcb11",23,0.11616161616161616,164.131
200,"low","deep",50,"sh",1000,"ASTER-wh (1 thread)","cbcb11",23,0.11616161616161616,468.688
200,"low","deep",50,"sh",1000,"ASTER-wh (16 threads)","cbcb11",23,0.11616161616161616,34.585
200,"low","shallow",1,"sh",1000,"ASTRID-ws","cbcb08",23,0.11616161616161616,0.268
200,"low","shallow",1,"sh",1000,"TQMC-wh_n2","cbcb08",23,0.11616161616161616,156.53199999999998
200,"low","shallow",1,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,0.11616161616161616,531.135
200,"low","shallow",1,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,0.11616161616161616,30.27
200,"low","shallow",2,"sh",1000,"ASTRID-ws","cbcb10",23,0.11616161616161616,0.263
200,"low","shallow",2,"sh",1000,"TQMC-wh_n2","cbcb10",23,0.11616161616161616,154.79
200,"low","shallow",2,"sh",1000,"ASTER-wh (1 thread)","cbcb10",23,0.11616161616161616,557.347
200,"low","shallow",2,"sh",1000,"ASTER-wh (16 threads)","cbcb10",23,0.11616161616161616,32.56
200,"low","shallow",3,"sh",1000,"ASTRID-ws","cbcb14",23,0.11616161616161616,0.264
200,"low","shallow",3,"sh",1000,"TQMC-wh_n2","cbcb14",23,0.11616161616161616,158.614
200,"low","shallow",3,"sh",1000,"ASTER-wh (1 thread)","cbcb14",23,0.11616161616161616,655.38
