NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
200,low,deep,18,abayes,50,TQMC-wh_n2,8,0.04040404040404041
200,low,deep,18,sh,50,TQMC-wh_n2,7,0.03535353535353535
200,low,deep,18,abayes,50,ASTER-wh,7,0.03535353535353535
200,low,deep,18,sh,50,ASTER-wh,6,0.030303030303030304
200,low,deep,18,abayes,50,ASTRID-ws,8,0.04040404040404041
200,low,deep,18,sh,50,ASTRID-ws,9,0.045454545454545456
200,low,deep,19,none,50,CA-ML,6,0.030303030303030304
200,low,deep,19,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,19,none,50,TQMC-n2,10,0.050505050505050504
200,low,deep,19,abayes,50,TQMC-ws_n2,11,0.05555555555555555
200,low,deep,19,sh,50,TQMC-ws_n2,11,0.05555555555555555
200,low,deep,19,abayes,50,TQMC-wh_n2,12,0.06060606060606061
200,low,deep,19,sh,50,TQMC-wh_n2,14,0.0707070707070707
200,low,deep,19,abayes,50,ASTER-wh,17,0.08585858585858586
200,low,deep,19,sh,50,ASTER-wh,16,0.08080808080808081
200,low,deep,19,abayes,50,ASTRID-ws,12,0.06060606060606061
200,low,deep,19,sh,50,ASTRID-ws,12,0.06060606060606061
200,low,deep,20,none,50,CA-ML,6,0.030303030303030304
200,low,deep,20,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,20,none,50,TQMC-n2,5,0.025252525252525252
200,low,deep,20,abayes,50,TQMC-ws_n2,4,0.020202020202020204
200,low,deep,20,sh,50,TQMC-ws_n2,7,0.03535353535353535
200,low,deep,20,abayes,50,TQMC-wh_n2,2,0.010101010101010102
200,low,deep,20,sh,50,TQMC-wh_n2,4,0.020202020202020204
200,low,deep,20,abayes,50,ASTER-wh,5,0.025252525252525252
200,low,deep,20,sh,50,ASTER-wh,6,0.030303030303030304
200,low,deep,20,abayes,50,ASTRID-ws,6,0.030303030303030304
200,low,deep,20,sh,50,ASTRID-ws,9,0.045454545454545456
200,low,deep,21,none,50,CA-ML,5,0.025252525252525252
200,low,deep,21,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,21,none,50,TQMC-n2,4,0.020202020202020204
200,low,deep,21,abayes,50,TQMC-ws_n2,3,0.015151515151515152
200,low,deep,21,sh,50,TQMC-ws_n2,6,0.030303030303030304
200,low,deep,21,abayes,50,TQMC-wh_n2,3,0.015151515151515152
200,low,deep,21,sh,50,TQMC-wh_n2,6,0.030303030303030304
200,low,deep,21,abayes,50,ASTER-wh,5,0.025252525252525252
200,low,deep,21,sh,50,ASTER-wh,7,0.03535353535353535
200,low,deep,21,abayes,50,ASTRID-ws,3,0.015151515151515152
200,low,deep,21,sh,50,ASTRID-ws,5,0.025252525252525252
200,low,deep,22,none,50,CA-ML,5,0.025252525252525252
200,low,deep,22,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,22,none,50,TQMC-n2,6,0.030303030303030304
200,low,deep,22,abayes,50,TQMC-ws_n2,5,0.025252525252525252
200,low,deep,22,sh,50,TQMC-ws_n2,5,0.025252525252525252
200,low,deep,22,abayes,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,22,sh,50,TQMC-wh_n2,6,0.030303030303030304
200,low,deep,22,abayes,50,ASTER-wh,6,0.030303030303030304
200,low,deep,22,sh,50,ASTER-wh,6,0.030303030303030304
