SCAL,NGEN,NBPS,REPL,GENE,NL,I1,I2,FN,FP,RF
noscale,200g,1000b,R11,112,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,113,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,114,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,115,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,116,37,34,34,6,6,0.176471
noscale,200g,1000b,R11,117,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,118,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,119,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,120,37,34,34,18,18,0.529412
noscale,200g,1000b,R11,121,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,122,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,123,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,124,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,125,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,126,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,127,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,128,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,129,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,130,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,131,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,132,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,133,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,134,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,135,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,136,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,137,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,138,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,139,37,34,34,7,7,0.205882
noscale,200g,1000b,R11,140,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,141,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,142,37,34,34,7,7,0.205882
noscale,200g,1000b,R11,143,37,34,34,18,18,0.529412
noscale,200g,1000b,R11,144,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,145,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,146,37,34,34,18,18,0.529412
noscale,200g,1000b,R11,147,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,148,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,149,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,150,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,151,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,152,37,34,34,7,7,0.205882
noscale,200g,1000b,R11,153,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,154,37,34,34,18,18,0.529412
noscale,200g,1000b,R11,155,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,156,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,157,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,158,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,159,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,160,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,161,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,162,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,163,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,164,37,34,34,17,17,0.500000
noscale,200g,1000b,R11,165,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,166,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,167,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,168,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,169,37,34,34,8,8,0.235294
noscale,200g,1000b,R11,170,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,171,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,172,37,34,34,8,8,0.235294
noscale,200g,1000b,R11,173,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,174,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,175,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,176,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,177,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,178,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,179,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,180,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,181,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,182,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,183,37,34,34,8,8,0.235294
